id,Country,adm1-code,var1_usersper100,var2_secureaccess,var3_politicalrights,var4_civilib,var5_politcalfiltr
1,Afghanistan,,6.39,1,6,6,0
2,Albania,,60.1,24,3,3,
3,Algeria,,18.09,,6,5,0
4,Andorra,,95.9,,1,1,
5,Angola,,21.26,5,6,6,
6,Antigua & Barbuda,,64,,2,2,
7,Argentina,,64.7,53,2,2,
8,Armenia,,46.3,41,5,4,3
9,Australia,,84.56,1349,1,1,0
10,Austria,,81,1268,1,1,
11,Azerbaijan,,61,14,7,6,2
12,Bahamas,,76.92,256,1,1,
13,Bahrain,,90.99998,177,7,6,4
14,Bangladesh,,9.6,177,4,4,0
15,Barbados,,76.67,,1,1,
16,Belarus,,59.02,45,7,6,2
17,Belgium,,85,,1,1,
18,Belize,,38.7,210,1,2,
19,Benin,,5.3,2,2,2,
20,Bhutan,,34.37,,3,4,
21,Bolivia,,39.02,13,3,3,
22,Bosnia-Herzegovina,,60.8,36,4,3,
23,Botswana,,18.5,11,3,2,
24,Brazil,,57.6,69,2,2,
25,Brunei,,68.77,151,6,5,
26,Bulgaria,,55.49,,2,2,
27,Burkina Faso,,9.4,,4,3,
28,Burundi,,1.38,,7,6,
29,Cambodia,,9,,6,5,
30,Cameroon,,11,2,6,6,
31,Canada,,87.12,1201,1,1,0
32,Cape Verde,,,,1,1,
33,Central African Republic,,4.03,0,7,7,
34,Chad,,2.5,0,7,6,
35,Chile,,72.35,128,1,1,
36,China,,49.3,7,7,6,4
37,Colombia,,52.57,47,3,4,0
38,Comoros,,6.98,,3,4,
39,Congo (Brazzaville),,3,2,6,5,
40,Congo (Kinshasa),,7.11,0,6,6,
41,Costa Rica,,49.41,99,1,1,
42,Cote d'Ivoire,,14.6,3,4,4,
43,Croatia,,68.57,220,1,2,0
44,Cuba,,30,0,7,6,
45,Cyprus,,69.33,607,1,1,
46,Czech Republic,,79.71,692,1,1,
47,Czechoslovakia,,,,,,
48,Denmark,,95.99,2081,1,1,0
49,Djibouti,,10.71,10,6,5,
50,Dominica,,62.86,439,1,1,
51,Dominican Republic,,49.58,28,3,3,
52,East Timor,,,,3,3,
53,Ecuador,,43,34,3,3,
54,Egypt,,31.7,5,6,5,0
55,El Salvador,,29.7,22,2,3,
56,Equatorial Guinea,,18.86,4,7,7,
57,Eritrea,,0.99,,7,7,
58,Estonia,,84.24,927,1,1,
59,Ethiopia,,2.9,0,7,6,4
60,Fiji,,41.8,42,3,3,
61,Finland,,92.38,1791,1,1,0
62,France,,83.75,683,1,1,0
63,Gabon,,9.81,11,6,5,
64,"Gambia, The",,15.56,6,7,6,
65,Georgia,,48.9,37,3,3,2
66,Germany,,86.19,1420,1,1,0
67,Ghana,,18.9,4,1,2,
68,Greece,,63.21,147,2,2,
